_id,active,createdDate,lastLogin,role,signUpSource,state
5ffc8f9704929111f6e922bf,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffcb4bc04929111f6e92608,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffc8f9704929111f6e922bf,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffc9d9f04929111f6e92456,True,01-11-2021,01-11-2021,consumer,Email,WI
5ffca30604929111f6e92525,True,01-11-2021,01-11-2021,consumer,Email,WI
5fff0f9804929101d0ab0697,True,01-13-2021,01-13-2021,consumer,Email,WI
5fff0f4fb3348b03eb45abb0,True,01-13-2021,01-13-2021,consumer,Email,WI
5fff4beedf9ace121f0c17ea,True,01-13-2021,01-13-2021,consumer,Email,WI
5ffe115404929101d0aaebb2,True,01-12-2021,,consumer,Email,AL
5fff55dabd4dff11dda8f5f1,True,01-13-2021,01-13-2021,consumer,Email,WI
5fff0f4fb3348b03eb45abb0,True,01-13-2021,01-13-2021,consumer,Email,WI
5fff55dabd4dff11dda8f5f1,True,01-13-2021,01-13-2021,consumer,Email,WI
5fff4beedf9ace121f0c17ea,True,01-13-2021,01-13-2021,consumer,Email,WI
5ffe115404929101d0aaebb2,True,01-12-2021,,consumer,Email,AL
5fff26bab3348b03eb45bb22,True,01-13-2021,01-13-2021,consumer,Email,WI
5fff55dabd4dff11dda8f5f1,True,01-13-2021,01-13-2021,consumer,Email,WI
5fff0f4fb3348b03eb45abb0,True,01-13-2021,01-13-2021,consumer,Email,WI
5fff55dabd4dff11dda8f5f1,True,01-13-2021,01-13-2021,consumer,Email,WI
5fff55dabd4dff11dda8f5f1,True,01-13-2021,01-13-2021,consumer,Email,WI
5fff4c7461ffa811fdb0854c,True,01-13-2021,01-13-2021,consumer,Email,WI
5fff26bfb3348b03eb45bb32,True,01-13-2021,01-13-2021,consumer,Email,WI
5fff55dabd4dff11dda8f5f1,True,01-13-2021,01-13-2021,consumer,Email,WI
5fff0f4fb3348b03eb45abb0,True,01-13-2021,01-13-2021,consumer,Email,WI
5fff26f2b3348b03eb45bbb9,True,01-13-2021,01-13-2021,consumer,Email,WI
5fff55dabd4dff11dda8f5f1,True,01-13-2021,01-13-2021,consumer,Email,WI
6000d4bae2571211db395b9f,True,01-14-2021,01-14-2021,consumer,Email,WI
600056a3f7e5b011fce897b0,True,01-14-2021,01-14-2021,consumer,Email,WI
600056a3f7e5b011fce897b0,True,01-14-2021,01-14-2021,consumer,Email,WI
600056a3f7e5b011fce897b0,True,01-14-2021,01-14-2021,consumer,Email,WI
6000d46cfb296c121a81b20c,True,01-14-2021,01-14-2021,consumer,Email,WI
6000b7aefb296c121a8198b1,True,01-14-2021,01-14-2021,consumer,Email,WI
60005709bd4dff11dda90ac1,True,01-14-2021,01-14-2021,consumer,Email,WI
6000b7aefb296c121a8198b1,True,01-14-2021,01-14-2021,consumer,Email,WI
600056a3f7e5b011fce897b0,True,01-14-2021,01-14-2021,consumer,Email,WI
6000b7aefb296c121a8198b1,True,01-14-2021,01-14-2021,consumer,Email,WI
5e27526d0bdb6a138c32b556,True,01-21-2020,,consumer,Google,WI
600056a3f7e5b011fce897b0,True,01-14-2021,01-14-2021,consumer,Email,WI
6000d46cfb296c121a81b20c,True,01-14-2021,01-14-2021,consumer,Email,WI
6000d4abe2571211db395b5c,True,01-14-2021,01-14-2021,consumer,Email,WI
600056d6bd4dff11dda90a3f,True,01-14-2021,01-14-2021,consumer,Email,WI
60005704bd4dff11dda90a9d,True,01-14-2021,01-14-2021,consumer,Email,WI
600056a3f7e5b011fce897b0,True,01-14-2021,01-14-2021,consumer,Email,WI
600056a3f7e5b011fce897b0,True,01-14-2021,01-14-2021,consumer,Email,WI
600056a3f7e5b011fce897b0,True,01-14-2021,01-14-2021,consumer,Email,WI
60005709bd4dff11dda90ac1,True,01-14-2021,01-14-2021,consumer,Email,WI
6002475cfb296c121a81b98d,True,01-16-2021,,consumer,Email,WI
60024f24e257124ec6b99a13,True,01-16-2021,,consumer,Email,WI
60037329e257124ec6b99eeb,True,01-16-2021,,consumer,Email,WI
6000b75bbe5fc96dfee1d4d3,True,01-14-2021,,consumer,Email,AL
6002541ae257124ec6b99a3a,True,01-16-2021,,consumer,Email,WI
6000b75bbe5fc96dfee1d4d3,True,01-14-2021,,consumer,Email,AL
600258dafb296c4ef805d9b7,True,01-16-2021,,consumer,Email,WI
60025c65fb296c4ef805d9e6,True,01-16-2021,,consumer,Email,WI
60037005e257124ec6b99ec2,True,01-16-2021,,consumer,Email,WI
60025c65fb296c4ef805d9e6,True,01-16-2021,,consumer,Email,WI
6000b75bbe5fc96dfee1d4d3,True,01-14-2021,,consumer,Email,AL
6000b75bbe5fc96dfee1d4d3,True,01-14-2021,,consumer,Email,AL
60025c65fb296c4ef805d9e6,True,01-16-2021,,consumer,Email,WI
6000b75bbe5fc96dfee1d4d3,True,01-14-2021,,consumer,Email,AL
6000b75bbe5fc96dfee1d4d3,True,01-14-2021,,consumer,Email,AL
60023de5fb296c121a81b955,True,01-16-2021,,consumer,Email,CO
6002541ae257124ec6b99a3a,True,01-16-2021,,consumer,Email,WI
60049cdce257124ec6b9a353,True,01-17-2021,,consumer,Email,WI
60025fe0e257124ec6b99a87,True,01-16-2021,,consumer,Email,WI
600498c4e257124ec6b9a331,True,01-17-2021,,consumer,Email,WI
6004a5d3fb296c4ef805e256,True,01-17-2021,,consumer,Email,WI
60037a94fb296c4ef805ddbe,True,01-16-2021,,consumer,Email,WI
600495c3fb296c4ef805e1fc,True,01-17-2021,,consumer,Email,WI
6004a965e257124ec6b9a39f,True,01-17-2021,,consumer,Email,WI
6007464b6e64691717e8c1f0,True,01-19-2021,01-19-2021,consumer,Email,WI
6007464b6e64691717e8c1f0,True,01-19-2021,01-19-2021,consumer,Email,WI
600741d06e6469120a787853,True,01-19-2021,01-19-2021,consumer,Email,WI
600748196e64691717e8d4f0,True,01-19-2021,01-19-2021,consumer,Email,WI
600746fd6e64691717e8cfb5,True,01-19-2021,01-19-2021,consumer,Email,WI
60074b49325c8a1794623876,True,01-19-2021,01-19-2021,consumer,Email,WI
60074b49325c8a1794623876,True,01-19-2021,01-19-2021,consumer,Email,WI
60074b996e64691717e8f11a,True,01-19-2021,01-19-2021,consumer,Email,WI
600748196e64691717e8d4f0,True,01-19-2021,01-19-2021,consumer,Email,WI
600741d06e6469120a787853,True,01-19-2021,01-19-2021,consumer,Email,WI
600741d06e6469120a787853,True,01-19-2021,01-19-2021,consumer,Email,WI
600741d06e6469120a787853,True,01-19-2021,01-19-2021,consumer,Email,WI
600741d06e6469120a787853,True,01-19-2021,01-19-2021,consumer,Email,WI
600748196e64691717e8d4f0,True,01-19-2021,01-19-2021,consumer,Email,WI
