_id,barcode,category,categoryCode,cpg,name,topBrand,brandCode,cpg_id,cpg_ref
5da609621dda2c3e1416ae8f,511111105831,Health & Wellness,,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",ONE A DAYÂ® PRENATAL AND PREGNANCY,,511111105831,53e10d6368abd3c7065097cc,Cogs
5a7e0665e4b0aedb3b84afd4,511111704140,,,"{'$ref': 'Cogs', '$id': {'$oid': '55b62995e4b0d8e685c14213'}}",Diet Chris Cola,,DIETCHRIS2,55b62995e4b0d8e685c14213,Cogs
5332f73ee4b03c9a25efd108,511111403791,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",Dr Pepper,,,5332f5ebe4b03c9a25efd0a8,Cpgs
5ca6383b166eb32e98e0e450,511111804765,Deli,,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",Bold Butcher,,BOLD BUTCHER,559c2234e4b06aca36af13c6,Cogs
585a9686e4b03e62d1ce0e81,511111601678,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",Lay's Original,1.0,LAY'S,5332f5fbe4b03c9a25efd0ba,Cogs
585a96e0e4b03e62d1ce0e8a,511111401599,Snacks,,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",Quaker Chewy,0.0,,5332f5fbe4b03c9a25efd0ba,Cogs
592486bde410d61fcea3d121,511111300939,Frozen,FROZEN,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",BEN & JERRY'S,1.0,BEN & JERRY'S,5332f5f6e4b03c9a25efd0b4,Cogs
5f4a7a5dbe37ce2d95e65ca1,511111816263,Baking,BAKING,"{'$ref': 'Cogs', '$id': {'$oid': '5f4a7a5bbe37ce2d95e65c9f'}}",test brand @1598716509304,,TEST BRANDCODE @1598716509304,5f4a7a5bbe37ce2d95e65c9f,Cogs
5332fa7ae4b03c9a25efd22a,511111202950,,,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",Pibb Xtra,,,5332f5ebe4b03c9a25efd0a8,Cpgs
5c6c2f9295144c6db8fe1977,511111106432,Beverages,,"{'$ref': 'Cogs', '$id': {'$oid': '5c6c2ee995144c6db8fe1976'}}","new-brand, of course",1.0,FRS920,5c6c2ee995144c6db8fe1976,Cogs
